Title Code,Charge,Charge Description,Classification,Jail Time (Months),Fine ($),Charge,Charge Description,Classification,Jail Time (Months),Fine ($),Charge,Charge Description,Classification,Jail Time (Months),Fine ($),Charge,Charge Description,Classification,Jail Time (Months),Fine ($),Charge,Charge Description,Classification,Jail Time (Months),Fine ($)
§ 1111,First Degree Murder,"Knowingly and willfully causing the death of another with premeditation, or aiding and abetting in such a murder. (Flatbacking applicable)",Federal,70,25000,,,,,,,,,,,,,,,,,,,,
§ 1111-A	,Association: First Degree Murder,Criminal association or aiding in a murder plot or execution.,Federal,35,12500,,,,,,,,,,,,,,,,,,,,
§ 1114,Murder of a Public Servant or Peace Officer,Intentional killing of a government official during lawful duties.	,Federal,70,30000,,,,,,,,,,,,,,,,,,,,
§ 1114-A	,Attempted Murder of a Public Servant	,"Attempt to kill a public servant with clear intent, act incomplete.	",Federal,60,20000,,,,,,,,,,,,,,,,,,,,
§ 1114-B	,Association: Attempted Murder of a Public Servant	,Accomplice in an attempted murder of a public servant.	,Federal,30,10000,,,,,,,,,,,,,,,,,,,,
§ 1595	,Human Trafficking	,Coerced exploitation of individuals for labor or sexual acts.	,Federal,60,25000,,,,,,,,,,,,,,,,,,,,
§ 2332b,Terrorism,Acts or threats of violence meant to intimidate or influence government or civilians.	,Federal,120,60000,,,,,,,,,,,,,,,,,,,,
§ 1504,RICO Act,Engagement in or benefiting from an organized pattern of felony crimes.	,Federal,70,25000,,,,,,,,,,,,,,,,,,,,
§ 1504-A	,Association: RICO Activity	,Criminally associated with an enterprise engaged in racketeering.	,Federal,35,12500,,,,,,,,,,,,,,,,,,,,
§ 31	,Plane Heist	,Theft or hijacking of an aircraft or cargo through force or threat.	,Federal,65,50000,,,,,,,,,,,,,,,,,,,,
§ 2113	,Major Bank Robbery	,Armed or violent robbery of a financial institution.	,Federal,70,30000,,,,,,,,,,,,,,,,,,,,
§ 2113-A	,Association: Major Robbery	,Acting in concert with others to plan or execute a major robbery.	,Federal,35,15000,,,,,,,,,,,,,,,,,,,,
§ 401	,Contempt of Court (General),Disruption or disrespect interfering with court operations.	,Federal,15,2500,,,,,,,,,,,,,,,,,,,,
§ 401-A,Contempt of Court Order	,"Defying a specific, active court order or ruling.",Federal,30,5000,,,,,,,,,,,,,,,,,,,,
§ 401-B	,Aggravated Contempt	,Repeated violations or threats against the judiciary.	,Federal,35,6000,,,,,,,,,,,,,,,,,,,,
§ 1503	,Obstruction of Justice	,"Tampering with evidence, interfering with investigations or proceedings.	",Federal,40,7500,,,,,,,,,,,,,,,,,,,,
§ 912-A	,Impersonating a Judge	,Falsely acting as a judicial officer to issue rulings or orders.	,Federal,30,6000,,,,,,,,,,,,,,,,,,,,
§ 912-B	,Impersonating a Government Official	,Pretending to be a public official for influence or access.	,Federal,25,4000,,,,,,,,,,,,,,,,,,,,
§ 201	,Government Corruption / Malfeasance	,Misusing public office for personal gain or engaging in misconduct.	,Federal,60,25000,,,,,,,,,,,,,,,,,,,,
§ 2241	,Sexual Harassment	,Unwanted verbal or physical conduct of a sexual nature.	,Federal,30,5500,,,,,,,,,,,,,,,,,,,,
§ 2241-A	,Sexual Assault (Non-Penetrative)	,Non-consensual sexual contact including touching or coercion.	,Federal,999999,200000,,,,,,,,,,,,,,,,,,,,
§ 641        ,Theft of Government Property	,Unauthorized possession or destruction of government-owned property.,Federal,25,2000,,,,,,,,,,,,,,,,,,,,
§ 1512        ,Coercion,Forcing another to act unlawfully or against their will using threats.	,Federal,30,6000,,,,,,,,,,,,,,,,,,,,
§ 1919,Anarchism,Inciting or organizing unlawful attempts to undermine lawful governance.	,Federal,25,25000,,,,,,,,,,,,,,,,,,,,
,Felony Charges,,,,,,,,,,,,,,,,,,,,,,,,
 § 1001        ,False Reporting	,Knowingly providing false or misleading information to law enforcement or emergency services.	,Felony,35,2000,,,,,,,,,,,,,,,,,,,,
 § 1001-A        ,Association: False Reporting	,Participating in or encouraging false reporting to authorities.	,Felony,17,1000,,,,,,,,,,,,,,,,,,,,
§ 1501,Obstruction of a Public Official	,Willfully interfering with a public official’s lawful performance of duties.	,Felony,25,5000,,,,,,,,,,,,,,,,,,,,
§ 1501-A,Association: Obstruction of a Public Official	,Acting in concert to obstruct a public official’s duties.	,Felony,12,2500,,,,,,,,,,,,,,,,,,,,
§ 2101,Inciting a Riot,Intentionally encouraging or participating in acts that provoke public disorder or violence.,Felony,25,2500,,,,,,,,,,,,,,,,,,,,
2101-A,Association: Inciting a Riot,Collaborating or conspiring to incite or sustain riotous behavior.,Felony,12,1250,,,,,,,,,,,,,,,,,,,,
§ 1512,Tampering,"Deliberately interfering with evidence, machinery, or judicial processes to deceive or hinder justice.	",Felony,30,5000,,,,,,,,,,,,,,,,,,,,
§ 1512-A,Association: Tampering,Acting together to tamper with evidence or obstruct legal procedures.	,Felony,15,2500,,,,,,,,,,,,,,,,,,,,
,Vigilantism,"Taking law enforcement into one’s own hands without authorization, acting as an extrajudicial enforcer.	",Felony,35,1500,,,,,,,,,,,,,,,,,,,,
N/A-A,Association: Vigilantism	,Participating with others in unauthorized law enforcement or violent self-justice.	,Felony,17,750,,,,,,,,,,,,,,,,,,,,
§ 2261A,Stalking,Repeated unwanted conduct or communication causing fear or distress.	,Felony,36,5000,,,,,,,,,,,,,,,,,,,,
 § 2261A-A	,Association: Stalking	,Collaborating in stalking or harassment campaigns against a victim.	,Felony,18,2500,,,,,,,,,,,,,,,,,,,,
